ProductId,ProductName,PriceTableName,ListPrice,SalePrice,DESCR_TIPO_FAST,CODPROD,VLRUNIT
1237,ACP002 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1464,1464,Distribuição,1237,14.64
1238,ACP202 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1307,1307,Distribuição,1238,13.07
1239,ACP600 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2142,2142,Distribuição,1239,21.42
1240,ACP800 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1588,1588,Distribuição,1240,15.88
1241,AG68 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),558,558,Distribuição,1241,5.58
1242,AP1185 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),19926,19926,Distribuição,1242,199.26
1243,AP1186 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),23270,23270,Distribuição,1243,232.7
1244,AP7108 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4463,4463,Distribuição,1244,44.63
1245,AP7998 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5402,5402,Distribuição,1245,54.02
1246,AP9834 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5844,5844,Distribuição,1246,58.44
1247,AP 9031 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),8268,8268,Distribuição,1247,82.68
1248,AR8833 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1354,1354,Distribuição,1248,13.54
1249,ARL2202 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2451,2451,Distribuição,1249,24.51
1250,ARL4147 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1116,1116,Distribuição,1250,11.16
1251,ARL4152 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1615,1615,Distribuição,1251,16.15
1252,ARL8825 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1519,1519,Distribuição,1252,15.19
1253,ARL8832 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),812,812,Distribuição,1253,8.12
1254,ARS2868 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2250,2250,Distribuição,1254,22.5
1255,ARS3003 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),6040,6040,Distribuição,1255,60.4
1256,ARS7990 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5745,5745,Distribuição,1256,57.45
1257,ARS9838 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5856,5856,Distribuição,1257,58.56
1258,ARS9839 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),7218,7218,Distribuição,1258,72.18
